iter	Passed	Remaining
320	4019	989
321	4029	976
322	4039	962
323	4049	949
324	4059	936
325	4070	924
326	4079	910
327	4089	897
328	4099	884
329	4110	871
330	4120	858
331	4130	846
332	4140	833
333	4151	820
334	4161	807
335	4172	794
336	4184	782
337	4197	769
338	4207	757
339	4219	744
340	4229	731
341	4243	719
342	4254	706
343	4265	694
344	4276	681
345	4288	669
346	4299	656
347	4312	644
348	4323	631
349	4334	619
350	4346	606
351	4361	594
352	4374	582
353	4386	569
354	4395	557
355	4408	544
356	4420	532
357	4430	519
358	4442	507
359	4453	494
360	4464	482
361	4475	469
362	4487	457
363	4497	444
364	4508	432
365	4520	419
366	4531	407
367	4542	395
368	4557	382
369	4569	370
370	4581	358
371	4594	345
372	4605	333
373	4615	320
374	4627	308
375	4641	296
376	4653	283
377	4666	271
378	4676	259
379	4688	246
380	4702	234
381	4712	222
382	4723	209
383	4734	197
384	4745	184
385	4756	172
386	4771	160
387	4784	147
388	4796	135
389	4809	123
390	4822	110
391	4831	98
392	4844	86
393	4855	73
394	4866	61
395	4877	49
396	4891	36
397	4903	24
398	4916	12
399	4927	0
